GAME_ID,GAME_EVENT_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE,MINUTES_RE
0022100010,22,1,Reverse Layup Shot,2,0,-9,0,1,20.10.2021,SAS,ORL,2021-22,R,10:14
0022100010,40,1,Layup Shot,2,4,29,37,1,20.10.2021,SAS,ORL,2021-22,R,08:27
0022100010,259,2,Pullup Jump shot,2,8,49,72,0,20.10.2021,SAS,ORL,2021-22,R,06:47
0022100010,364,2,Jump Shot,3,26,-100,240,0,20.10.2021,SAS,ORL,2021-22,R,01:09
0022100010,450,3,Jump Shot,3,25,169,189,0,20.10.2021,SAS,ORL,2021-22,R,07:02
0022100010,567,4,Driving Finger Roll Layup Shot,2,0,7,-6,1,20.10.2021,SAS,ORL,2021-22,R,09:54
0022100010,628,4,Cutting Layup Shot,2,2,-20,-3,1,20.10.2021,SAS,ORL,2021-22,R,05:25
0022100010,675,4,Driving Dunk Shot,2,1,7,13,1,20.10.2021,SAS,ORL,2021-22,R,02:18
0022100010,700,4,Layup Shot,2,4,28,38,1,20.10.2021,SAS,ORL,2021-22,R,00:14
0022100018,62,1,Driving Layup Shot,2,3,31,24,0,22.10.2021,ORL,NYK,2021-22,R,11:48
0022100018,8,1,Floating Jump shot,2,7,-67,40,0,22.10.2021,ORL,NYK,2021-22,R,11:44
0022100018,37,1,Hook Shot,2,5,7,59,0,22.10.2021,ORL,NYK,2021-22,R,08:16
0022100018,83,1,Jump Shot,3,25,127,226,0,22.10.2021,ORL,NYK,2021-22,R,05:27
0022100018,206,2,Jump Shot,3,26,16,264,1,22.10.2021,ORL,NYK,2021-22,R,10:00
0022100018,271,2,Jump Shot,3,24,-113,220,1,22.10.2021,ORL,NYK,2021-22,R,05:05
0022100018,278,2,Pullup Jump shot,2,12,-37,119,1,22.10.2021,ORL,NYK,2021-22,R,04:31
0022100018,292,2,Driving Hook Shot,2,6,-2,63,0,22.10.2021,ORL,NYK,2021-22,R,03:57
0022100018,379,3,Putback Layup Shot,2,3,-31,10,1,22.10.2021,ORL,NYK,2021-22,R,09:10
0022100018,409,3,Running Jump Shot,3,25,191,162,1,22.10.2021,ORL,NYK,2021-22,R,06:26
0022100018,457,3,Jump Shot,3,26,-148,221,1,22.10.2021,ORL,NYK,2021-22,R,02:29
0022100018,654,4,Running Layup Shot,2,4,-5,43,0,22.10.2021,ORL,NYK,2021-22,R,00:54
0022100036,74,1,Jump Shot,3,24,-227,100,0,24.10.2021,NYK,ORL,2021-22,R,06:16
0022100036,83,1,Jump Shot,3,26,147,218,0,24.10.2021,NYK,ORL,2021-22,R,05:39
0022100036,87,1,Cutting Dunk Shot,2,0,1,7,1,24.10.2021,NYK,ORL,2021-22,R,05:13
0022100036,255,2,Reverse Layup Shot,2,1,15,8,1,24.10.2021,NYK,ORL,2021-22,R,04:41
0022100036,288,2,Running Dunk Shot,2,0,0,2,1,24.10.2021,NYK,ORL,2021-22,R,02:38
0022100036,296,2,Jump Shot,3,25,77,244,1,24.10.2021,NYK,ORL,2021-22,R,02:07
0022100036,345,3,Driving Layup Shot,2,5,0,52,0,24.10.2021,NYK,ORL,2021-22,R,11:38
0022100036,481,3,Jump Shot,3,22,-229,-14,0,24.10.2021,NYK,ORL,2021-22,R,01:40
0022100036,489,3,Jump Shot,3,26,137,232,0,24.10.2021,NYK,ORL,2021-22,R,01:02
0022100036,575,4,Layup Shot,2,0,-9,0,0,24.10.2021,NYK,ORL,2021-22,R,07:16
0022100036,633,4,Jump Shot,3,22,229,-13,0,24.10.2021,NYK,ORL,2021-22,R,02:34
0022100045,23,1,Driving Floating Jump Shot,2,8,-56,62,1,25.10.2021,MIA,ORL,2021-22,R,09:55
0022100045,32,1,Jump Shot,3,26,183,195,1,25.10.2021,MIA,ORL,2021-22,R,09:07
0022100045,178,2,Driving Dunk Shot,2,1,-9,8,1,25.10.2021,MIA,ORL,2021-22,R,10:45
0022100045,185,2,Jump Shot,3,27,168,213,0,25.10.2021,MIA,ORL,2021-22,R,10:19
0022100045,212,2,Jump Shot,3,25,-185,182,0,25.10.2021,MIA,ORL,2021-22,R,08:28
0022100045,237,2,Driving Hook Shot,2,6,15,59,1,25.10.2021,MIA,ORL,2021-22,R,06:48
0022100045,240,2,Jump Shot,3,28,-55,279,0,25.10.2021,MIA,ORL,2021-22,R,06:21
0022100045,250,2,Driving Layup Shot,2,1,10,17,0,25.10.2021,MIA,ORL,2021-22,R,05:07
0022100045,263,2,Jump Shot,3,26,-194,176,1,25.10.2021,MIA,ORL,2021-22,R,04:13
0022100045,287,2,Jump Shot,3,25,178,189,0,25.10.2021,MIA,ORL,2021-22,R,02:59
0022100045,332,3,Driving Floating Jump Shot,2,9,-39,90,1,25.10.2021,MIA,ORL,2021-22,R,11:46
0022100045,362,3,Jump Shot,3,25,100,235,0,25.10.2021,MIA,ORL,2021-22,R,09:05
0022100045,567,4,Floating Jump shot,2,9,-43,90,0,25.10.2021,MIA,ORL,2021-22,R,06:27
0022100055,53,1,Driving Finger Roll Layup Shot,2,1,9,16,1,27.10.2021,ORL,CHA,2021-22,R,07:52
0022100055,63,1,Jump Shot,3,26,-128,229,1,27.10.2021,ORL,CHA,2021-22,R,07:18
0022100055,229,2,Jump Shot,3,22,-224,1,1,27.10.2021,ORL,CHA,2021-22,R,07:28
0022100055,245,2,Jump Shot,3,26,53,256,1,27.10.2021,ORL,CHA,2021-22,R,06:02
0022100055,328,3,Driving Finger Roll Layup Shot,2,1,-7,13,1,27.10.2021,ORL,CHA,2021-22,R,11:35
0022100055,564,4,Driving Floating Jump Shot,2,8,-15,84,0,27.10.2021,ORL,CHA,2021-22,R,06:10
0022100055,576,4,Jump Shot,3,27,-10,274,0,27.10.2021,ORL,CHA,2021-22,R,04:32
0022100071,10,1,Jump Shot,3,22,228,28,0,29.10.2021,TOR,ORL,2021-22,R,11:26
0022100071,14,1,Turnaround Jump Shot,2,6,-39,57,0,29.10.2021,TOR,ORL,2021-22,R,10:56
0022100071,41,1,Driving Layup Shot,2,3,-32,12,0,29.10.2021,TOR,ORL,2021-22,R,08:36
0022100071,287,2,Driving Finger Roll Layup Shot,2,2,22,-4,0,29.10.2021,TOR,ORL,2021-22,R,01:35
0022100071,321,3,Driving Hook Shot,2,4,28,29,0,29.10.2021,TOR,ORL,2021-22,R,11:39
0022100071,330,3,Driving Hook Shot,2,5,20,48,1,29.10.2021,TOR,ORL,2021-22,R,10:36
0022100071,360,3,Running Layup Shot,2,6,1,66,0,29.10.2021,TOR,ORL,2021-22,R,07:50
0022100071,379,3,Fadeaway Jump Shot,2,4,44,10,1,29.10.2021,TOR,ORL,2021-22,R,05:58
0022100071,377,3,Driving Hook Shot,2,7,49,53,0,29.10.2021,TOR,ORL,2021-22,R,05:58
0022100071,541,4,Driving Layup Shot,2,2,-12,21,1,29.10.2021,TOR,ORL,2021-22,R,06:34
0022100071,549,4,Pullup Jump shot,2,13,-130,9,0,29.10.2021,TOR,ORL,2021-22,R,05:06
0022100071,634,4,Jump Shot,3,23,237,8,1,29.10.2021,TOR,ORL,2021-22,R,00:33
0022100079,27,1,Jump Shot,3,26,110,239,1,30.10.2021,DET,ORL,2021-22,R,09:35
0022100079,109,1,Driving Hook Shot,2,5,-2,50,1,30.10.2021,DET,ORL,2021-22,R,03:07
0022100079,116,1,Jump Shot,3,27,-131,247,0,30.10.2021,DET,ORL,2021-22,R,02:29
0022100079,127,1,Layup Shot,2,1,-16,4,1,30.10.2021,DET,ORL,2021-22,R,01:30
0022100079,146,1,Step Back Jump shot,3,23,233,27,0,30.10.2021,DET,ORL,2021-22,R,00:05
0022100079,153,2,Layup Shot,2,4,-45,10,0,30.10.2021,DET,ORL,2021-22,R,11:42
0022100079,188,2,Layup Shot,2,2,23,4,0,30.10.2021,DET,ORL,2021-22,R,08:58
0022100079,305,2,Floating Jump shot,2,5,-42,32,0,30.10.2021,DET,ORL,2021-22,R,02:21
0022100079,342,2,Driving Reverse Layup Shot,2,1,17,2,1,30.10.2021,DET,ORL,2021-22,R,00:06
0022100079,383,3,Driving Layup Shot,2,2,-21,5,1,30.10.2021,DET,ORL,2021-22,R,09:50
0022100079,391,3,Jump Shot,3,26,-80,251,1,30.10.2021,DET,ORL,2021-22,R,09:02
0022100079,424,3,Jump Shot,3,26,-143,218,1,30.10.2021,DET,ORL,2021-22,R,06:35
0022100079,436,3,Floating Jump shot,2,3,5,37,1,30.10.2021,DET,ORL,2021-22,R,05:47
0022100079,565,4,Jump Shot,3,25,164,201,0,30.10.2021,DET,ORL,2021-22,R,08:31
0022100079,591,4,Jump Shot,2,9,-53,83,0,30.10.2021,DET,ORL,2021-22,R,05:30
0022100101,23,1,Jump Shot,3,22,-223,13,0,01.11.2021,MIN,ORL,2021-22,R,10:40
0022100101,36,1,Driving Layup Shot,2,5,-28,45,1,01.11.2021,MIN,ORL,2021-22,R,09:37
